site,autocorrelation
1,-0.01663724955797213 - 0.05068480994206839im
2,-0.018380225930291663 - 0.052271995375829904im
3,-0.021210550178946845 - 0.05232605963026793im
4,-0.02155064570495895 - 0.05161496362821973im
5,-0.01903885518885208 - 0.052929294038791985im
6,-0.018472648196405567 - 0.04939611600636433im
7,-0.01750474956608166 - 0.04915396683391906im
8,-0.020473339562686665 - 0.050944713375570314im
9,-0.02103391595100084 - 0.05006475248400747im
10,-0.02046880679123811 - 0.052904677358189565im
11,-0.0187119853154548 - 0.05341849967789467im
12,-0.01637298030825976 - 0.05044533567138745im
